,Gender,Education_Level,Location,Proximity_to_Beaches,Favorite_Season,Environmental_Concerns,Class
0,3,2,1,291,3,1,1
1,1,1,3,228,1,0,0
2,2,3,2,293,3,1,1
3,3,4,2,128,2,0,1
4,2,3,2,279,2,1,0
5,3,4,3,295,4,1,1
6,3,4,1,283,2,1,1
7,1,4,3,146,3,0,1
8,2,3,1,118,2,1,1
9,3,4,2,247,2,1,1
10,3,3,2,215,1,0,0
11,1,2,1,267,3,0,1
12,2,1,1,299,1,0,1
13,3,3,1,156,4,1,1
14,3,4,1,217,2,1,0
15,2,3,2,285,4,1,1
16,1,2,2,271,2,1,1
17,1,3,1,164,4,1,0
18,1,4,3,88,4,0,1
19,3,3,3,148,3,1,1
20,1,1,1,63,1,1,1
21,3,4,2,213,2,1,0
22,3,3,1,76,4,1,0
23,2,1,3,274,3,0,1
24,3,4,1,51,1,1,0
25,1,1,1,197,1,1,0
26,2,1,3,289,4,0,1
27,1,2,3,202,4,1,0
28,1,1,3,176,3,0,0
29,2,2,1,121,2,0,0
30,2,3,3,89,4,1,0
31,2,2,2,131,1,0,0
32,2,4,1,150,2,1,0
33,1,2,2,132,2,1,1
34,1,3,3,128,4,1,1
35,3,4,3,153,1,1,1
36,2,4,3,137,1,0,0
37,3,2,1,135,3,0,1
38,1,3,3,31,2,0,0
39,1,3,3,271,1,1,1
40,1,4,3,140,1,1,1
41,3,3,3,154,2,0,1
42,1,1,3,238,2,0,1
43,2,4,3,191,1,1,0
44,2,1,2,202,1,0,0
45,2,4,2,200,1,0,0
46,3,2,2,54,2,0,0
47,3,1,1,22,4,1,0
48,1,3,3,242,4,1,1
49,2,4,2,144,1,1,1
50,1,2,2,221,3,0,1
51,2,1,3,53,4,1,1
52,3,3,2,191,3,0,1
53,3,3,1,276,2,0,0
54,1,2,3,99,3,0,0
55,3,1,3,14,1,1,0
56,1,1,1,130,4,0,0
57,3,3,2,286,2,1,0
58,3,2,3,120,3,1,1
59,3,3,2,142,3,1,0
60,2,3,1,81,3,0,0
61,1,3,1,259,4,0,1
62,2,4,3,193,1,1,0
63,3,2,3,255,2,1,0
64,2,1,1,231,2,0,1
65,1,4,3,103,3,1,0
66,3,3,2,135,1,0,0
67,1,1,2,159,3,0,0
68,3,3,1,243,3,0,1
69,3,4,3,166,2,1,1
70,2,4,3,253,1,1,0
71,2,3,1,173,1,0,0
72,2,4,2,276,1,0,1
73,2,1,3,232,4,0,1
74,1,3,3,180,3,0,0
75,3,3,1,257,4,1,1
76,3,4,3,205,1,0,1
77,1,1,3,115,1,0,1
78,1,4,3,124,4,1,1
79,3,1,2,162,4,1,1
80,2,3,1,1,2,1,0
81,1,1,3,5,3,1,0
82,2,4,1,195,2,1,0
83,2,3,2,292,4,1,1
84,1,3,3,265,1,1,1
85,3,2,2,266,3,0,0
86,1,3,2,263,3,1,1
87,3,2,3,261,2,0,0
88,1,2,3,20,3,0,0
89,1,3,1,247,2,0,1
90,1,3,2,275,1,0,1
91,3,2,1,285,1,1,1
92,1,4,3,58,3,1,0
93,1,3,1,295,4,0,1
94,3,2,1,252,1,0,1
95,3,3,3,229,2,0,0
96,1,4,1,168,2,0,1
97,3,4,1,288,4,1,1
98,2,2,2,162,2,0,1
99,3,1,1,264,4,1,1
100,1,1,2,213,1,1,1
101,2,2,2,298,1,1,1
102,1,3,3,31,1,0,0
103,2,2,1,85,3,1,0
104,2,4,1,278,3,1,1
105,2,3,1,31,4,1,0
106,2,3,3,230,2,1,1
107,1,4,1,182,4,0,0
108,3,1,2,141,1,1,1
109,2,4,3,207,4,1,1
110,3,1,1,273,1,0,1
111,2,1,2,108,4,0,0
112,1,4,3,277,4,1,1
113,2,3,3,140,4,0,0
114,3,3,2,80,1,0,1
115,1,3,1,234,1,1,1
116,2,2,1,287,2,0,1
117,2,2,2,69,4,0,1
118,3,3,3,261,1,1,1
119,3,2,1,190,4,1,1
120,3,4,1,7,3,0,0
121,2,4,1,276,2,0,1
122,3,1,1,285,3,1,0
123,2,4,1,69,2,0,0
124,1,4,2,55,3,1,0
125,3,2,1,225,3,0,0
126,2,4,2,210,1,0,0
127,1,3,3,127,1,0,1
128,2,2,3,142,1,1,0
129,1,2,3,214,2,0,1
130,3,2,1,115,2,0,0
131,1,3,2,18,3,0,0
132,3,2,2,133,1,0,0
133,2,4,2,185,4,1,0
134,2,2,1,280,4,1,1
135,3,1,2,280,4,0,0
136,2,2,1,128,3,0,0
137,2,2,2,239,3,1,1
138,2,2,2,74,4,1,1
139,1,2,3,73,1,1,1
140,1,3,3,281,3,0,1
141,3,2,3,295,2,0,1
142,1,3,2,143,1,1,0
143,1,2,3,263,2,1,0
144,3,3,1,235,4,1,1
145,2,1,2,223,1,0,1
146,1,4,2,246,3,1,1
147,3,4,3,243,2,0,1
148,2,2,2,185,3,1,1
149,2,3,2,48,2,1,0
150,2,1,1,146,2,0,1
151,3,4,3,180,3,0,0
152,1,1,3,284,4,1,1
153,3,1,1,188,4,0,1
154,1,2,3,119,3,0,0
155,2,1,2,215,1,1,1
156,1,3,3,254,3,1,1
157,2,4,1,181,3,1,0
158,2,3,3,280,2,0,1
159,2,1,3,292,2,0,1
160,1,3,1,58,3,1,0
161,2,3,1,145,3,0,1
162,1,2,2,191,3,0,1
163,2,2,2,280,1,0,1
164,1,3,3,95,1,1,0
165,2,4,1,80,2,1,0
166,2,4,3,296,2,1,1
167,2,1,1,199,4,0,1
168,2,2,2,287,1,0,0
169,1,2,2,106,1,1,0
170,1,4,1,80,2,0,1
171,3,3,3,259,4,0,1
172,1,2,1,85,1,0,1
173,3,2,1,58,1,1,0
174,1,2,2,191,4,0,0
175,1,1,1,142,4,0,0
176,3,2,3,66,2,0,0
177,2,1,3,206,4,1,0
178,3,1,3,181,1,1,1
179,2,2,1,27,3,0,0
180,3,1,3,258,2,1,1
181,3,1,2,29,1,0,0
182,1,2,2,213,4,0,0
183,1,4,1,80,1,0,0
184,3,4,3,176,3,1,0
185,3,2,2,294,3,1,1
186,2,3,2,88,3,1,0
187,1,2,2,125,2,0,1
188,3,2,1,109,1,0,0
189,3,4,3,155,3,0,1
190,2,2,1,224,4,0,1
191,1,3,3,124,3,1,0
192,1,1,2,100,1,1,1
193,3,3,2,167,1,1,0
194,1,3,3,207,1,0,1
195,1,1,1,209,4,1,1
196,2,4,1,135,1,0,0
197,3,4,2,64,2,1,0
198,1,1,2,204,3,1,0
199,1,2,3,281,1,1,1
200,3,1,2,260,2,0,1
201,3,3,2,133,4,0,0
202,1,3,3,254,2,1,0
203,3,4,3,279,2,1,0
204,1,3,3,69,2,1,1
205,1,3,3,201,1,0,0
206,1,4,3,96,1,0,0
207,2,2,1,198,1,0,1
208,1,2,3,243,1,1,0
209,1,4,1,146,4,1,1
210,3,4,2,146,1,0,0
211,3,1,3,255,4,1,1
212,2,3,1,113,1,1,1
213,2,2,1,134,3,1,1
214,1,1,3,86,3,0,0
215,2,3,3,125,3,1,1
216,1,3,1,124,4,1,1
217,3,2,3,60,2,1,0
218,2,3,1,153,1,0,0
219,2,3,1,220,4,1,0
220,2,3,1,39,1,1,0
221,1,4,1,214,2,0,1
222,1,1,1,46,4,1,0
223,2,2,3,66,2,0,0
224,2,1,3,231,4,1,1
225,3,1,2,238,4,0,1
226,2,1,3,287,2,0,1
227,3,2,1,249,2,0,0
228,2,3,1,201,2,1,1
229,1,4,3,262,3,1,1
230,2,2,3,289,1,0,1
231,1,3,1,136,3,1,1
232,1,3,3,219,3,0,0
233,1,2,2,82,1,1,0
234,1,4,2,258,1,0,1
235,3,4,2,227,2,0,0
236,2,1,2,236,3,0,1
237,2,2,3,126,3,0,0
238,2,4,2,188,1,1,0
239,2,2,1,63,2,0,0
240,2,3,1,4,2,1,0
241,2,3,2,201,4,1,1
242,2,1,3,270,2,0,1
243,2,3,1,21,1,0,1
244,3,2,2,166,4,0,0
245,1,3,1,290,3,0,0
246,3,1,1,260,2,0,1
247,2,4,1,268,1,0,1
248,2,4,1,231,4,0,0
249,2,1,3,60,1,0,1
250,3,1,2,283,4,1,1
251,3,2,1,23,1,1,0
252,2,3,2,211,3,0,1
253,3,3,1,229,1,1,1
254,2,1,2,156,1,1,1
255,1,1,2,53,3,1,0
256,2,2,2,276,2,1,1
257,3,4,3,221,4,1,1
258,1,1,2,55,3,0,0
259,2,1,3,210,4,0,1
260,2,3,3,261,4,1,1
261,3,1,1,167,2,0,1
262,3,1,3,298,2,0,1
263,2,1,3,240,1,1,1
264,1,1,2,204,2,0,1
265,2,3,2,254,1,0,1
266,3,3,3,12,1,0,0
267,3,4,1,66,2,1,0
268,3,4,2,112,1,1,0
269,1,2,1,159,3,1,0
270,3,4,1,105,1,0,1
271,1,3,2,281,1,0,1
272,1,2,1,276,3,0,0
273,1,1,2,178,3,1,0
274,1,4,2,120,2,0,1
275,2,2,2,167,1,0,1
276,2,1,3,56,1,1,0
277,3,2,3,148,3,0,1
278,1,4,3,155,2,1,0
279,2,1,2,288,1,0,1
280,2,2,1,86,2,0,0
281,1,2,2,184,3,0,1
282,2,2,1,189,4,1,1
283,1,2,3,295,2,1,1
284,3,3,2,64,4,0,1
285,1,1,2,258,2,0,1
286,1,1,3,36,4,1,1
287,2,3,1,229,2,0,0
288,2,1,3,114,4,0,0
289,3,3,2,183,2,0,0
290,1,3,3,127,2,0,0
291,1,4,1,87,4,0,0
292,3,3,3,185,2,1,1
293,2,3,1,190,4,0,1
294,2,3,2,194,3,1,0
295,3,1,1,211,1,0,0
296,1,1,1,23,2,0,0
297,1,1,2,271,1,0,1
298,3,1,1,5,3,0,0
299,1,3,2,198,2,1,1
300,3,2,3,120,3,0,1
301,3,2,3,85,1,1,1
302,1,4,3,133,3,0,0
303,1,2,3,293,1,1,1
304,2,3,3,58,1,0,0
305,1,3,1,248,2,1,1
306,3,3,3,72,2,1,0
307,1,3,3,175,2,1,1
308,2,3,1,219,2,0,0
309,2,4,3,199,4,1,1
310,1,3,2,136,3,0,0
311,1,2,2,223,3,1,1
312,2,1,2,262,1,1,1
313,3,4,3,51,2,1,1
314,3,1,2,211,3,1,0
315,3,1,3,232,3,0,1
316,1,2,3,268,4,1,1
317,3,2,2,281,4,0,1
318,1,1,3,153,2,1,1
319,2,1,3,180,4,0,1
320,3,2,1,166,1,1,1
321,1,1,3,45,1,1,0
322,1,3,1,46,2,1,1
323,1,1,3,44,2,1,0
324,2,3,2,124,1,1,0
325,3,1,1,29,3,1,0
326,3,3,3,282,3,1,1
327,1,1,3,271,2,1,1
328,2,1,3,275,1,0,0
329,2,3,1,94,1,1,0
330,1,3,3,37,4,1,0
331,1,1,1,221,1,1,1
332,3,2,2,228,4,0,0
333,3,3,2,7,3,0,0
334,3,3,1,291,2,0,0
335,1,2,1,187,3,1,1
336,1,3,3,236,4,1,1
337,3,3,3,118,4,1,1
338,2,4,2,286,3,0,0
339,2,2,3,49,1,0,0
340,2,2,2,52,2,1,1
341,2,2,1,247,2,1,1
342,2,1,2,237,4,1,1
343,2,3,1,96,4,1,1
344,2,3,2,294,1,0,0
345,1,1,2,266,1,1,1
346,2,3,3,135,2,0,1
347,3,3,2,72,3,0,0
348,3,3,3,229,4,1,1
349,3,1,1,241,4,1,1
350,2,3,3,31,4,0,0
351,1,3,1,288,4,0,1
352,2,3,3,282,2,0,0
353,2,3,1,79,1,0,0
354,2,4,2,17,4,1,0
355,3,1,3,133,2,1,0
356,2,3,2,29,2,0,0
357,2,4,1,79,2,0,0
358,2,4,3,220,2,1,1
359,1,2,1,187,1,1,0
360,1,1,2,37,4,0,1
361,2,3,1,290,4,1,1
362,3,3,2,103,2,0,1
363,3,2,2,278,4,0,1
364,3,1,2,269,4,0,1
365,3,1,1,262,4,0,0
366,3,1,1,163,2,0,0
367,1,3,1,159,4,0,1
368,3,3,2,28,2,0,0
369,3,2,3,262,2,0,1
370,2,1,1,136,4,1,1
371,2,3,1,18,1,1,0
372,1,1,3,48,3,0,0
373,2,1,3,237,2,1,1
374,1,2,2,9,3,0,0
375,3,2,3,172,2,0,0
376,3,1,3,99,1,0,1
377,1,2,1,227,3,0,1
378,3,3,1,66,3,1,0
379,1,1,1,238,4,0,0
380,2,1,1,50,3,0,0
381,1,4,2,241,2,1,1
382,1,1,1,78,2,1,0
383,1,2,1,246,3,1,0
384,3,2,3,297,4,0,1
385,1,4,2,76,1,1,0
386,3,2,2,228,2,1,0
387,2,1,2,176,2,1,1
388,3,3,3,21,4,1,0
389,3,1,3,111,1,0,0
390,3,4,3,264,3,1,0
391,2,3,1,150,3,0,1
392,3,4,3,282,4,0,0
393,1,2,2,256,1,0,1
394,1,1,3,18,4,0,0
395,1,1,3,188,2,0,1
396,2,1,2,23,2,0,0
397,3,3,3,44,2,0,1
398,1,4,3,163,2,0,0
399,1,2,3,260,4,1,0
400,1,4,3,2,1,1,0
401,2,4,2,280,1,1,1
402,2,4,1,75,2,0,0
403,1,4,1,215,3,0,1
404,3,2,2,266,3,1,1
405,2,2,2,164,1,0,1
406,3,4,2,121,3,1,0
407,2,3,2,241,2,1,1
408,1,4,2,124,3,1,0
409,3,1,1,76,3,0,1
410,3,1,2,235,1,1,0
411,2,1,2,275,3,0,1
412,1,3,2,117,4,0,0
413,2,1,2,239,4,1,0
414,1,1,2,170,4,1,1
415,2,4,3,224,2,0,1
416,3,3,2,231,4,0,1
417,1,3,1,173,4,0,0
418,2,2,1,170,1,0,0
419,1,2,2,294,4,0,0
420,1,4,3,285,3,1,0
421,2,1,3,150,1,1,0
422,2,2,3,224,3,0,1
423,2,4,1,159,1,0,1
424,3,4,2,284,3,0,1
425,1,1,2,278,1,0,0
426,3,1,2,143,4,1,1
427,1,1,3,249,1,1,1
428,2,2,1,88,4,1,0
429,2,3,3,150,3,1,0
430,1,2,3,287,1,1,1
431,2,1,2,172,4,1,1
432,1,2,3,85,2,1,0
433,3,1,1,222,4,0,1
434,2,1,3,239,4,0,1
435,1,1,1,145,1,0,0
436,2,4,1,255,4,1,1
437,1,2,3,207,4,1,0
438,3,2,3,160,3,1,1
439,1,2,1,141,1,1,0
440,3,1,1,268,1,0,1
441,3,2,1,235,1,1,1
442,3,3,2,282,2,1,1
443,1,3,1,68,4,0,0
444,1,4,3,82,4,1,0
445,2,1,3,81,2,0,0
446,2,1,3,169,3,1,1
447,1,2,3,44,3,0,1
448,3,4,3,83,1,0,0
449,2,2,2,281,4,0,1
450,1,1,3,294,4,0,0
451,2,3,3,12,2,0,0
452,1,3,1,188,2,1,1
453,3,4,1,130,4,0,0
454,3,1,1,255,3,1,1
455,1,3,2,196,3,1,0
456,2,3,1,140,1,1,1
457,1,3,3,78,1,1,0
458,1,3,1,232,1,1,1
459,2,3,2,207,2,1,1
460,3,3,3,258,1,0,1
461,1,1,2,19,1,0,1
462,1,3,3,260,3,0,0
463,2,1,3,236,1,1,1
464,1,1,3,285,3,1,0
465,1,4,3,209,2,1,0
466,1,4,3,194,2,1,1
467,1,2,2,248,3,1,1
468,2,1,1,173,2,0,1
469,1,2,1,291,1,0,1
470,2,2,2,221,1,1,0
471,3,3,1,118,2,1,0
472,3,3,1,109,3,0,0
473,1,2,2,155,2,1,1
474,3,3,2,232,4,0,1
475,1,2,2,38,4,1,0
476,2,2,3,53,3,1,0
477,3,2,2,221,3,1,0
478,1,4,2,50,2,0,1
479,3,4,2,224,2,1,1
480,1,2,3,285,3,0,1
481,3,2,1,24,2,0,0
482,1,3,1,242,4,1,0
483,2,1,3,79,4,0,0
484,1,4,2,164,3,0,0
485,3,1,3,208,1,0,0
486,3,3,3,257,4,0,1
487,2,1,1,116,2,0,1
488,3,3,3,157,3,1,1
489,3,3,1,266,3,0,1
490,1,4,3,250,2,0,0
491,3,3,1,74,2,0,1
492,1,1,2,132,1,1,0
493,3,4,3,221,2,0,1
494,3,4,1,153,2,1,1
495,2,3,1,160,3,1,1
496,3,3,3,138,1,1,0
497,3,1,1,254,2,1,1
498,1,2,1,256,1,0,1
499,2,1,2,272,1,0,1
500,2,1,3,63,2,0,1
501,2,4,2,11,1,0,0
502,2,2,3,113,4,0,0
503,2,4,1,290,2,1,0
504,2,4,3,34,3,1,0
505,3,2,3,238,1,0,1
506,3,2,1,163,2,1,1
507,3,4,2,231,4,0,1
508,2,3,2,218,2,0,1
509,3,3,2,153,1,1,1
510,3,1,1,215,2,0,0
511,3,4,1,106,4,0,1
512,3,1,3,129,1,0,0
513,3,3,1,25,1,0,0
514,3,3,2,33,3,1,0
515,2,2,1,97,2,0,0
516,2,2,2,243,1,1,0
517,1,1,3,26,1,0,0
518,1,4,3,140,2,1,0
519,1,1,2,98,2,0,0
520,2,1,1,121,3,1,0
521,1,4,1,108,4,1,0
522,3,3,2,265,3,0,1
523,1,2,2,195,1,0,1
524,3,4,1,34,2,1,1
525,2,2,3,199,4,0,1
526,1,3,1,198,2,1,1
527,2,4,3,276,4,0,1
528,2,2,3,98,2,0,0
529,3,2,2,137,1,0,0
530,3,4,3,217,3,0,1
531,3,4,1,161,1,1,1
532,2,3,3,23,2,1,1
533,3,2,3,212,3,0,1
534,3,3,1,5,1,0,0
535,1,2,1,265,1,1,1
536,3,4,1,288,4,1,1
537,1,4,2,201,2,1,1
538,3,2,2,259,1,1,1
